# The index has the following fields:
#
#   ID: A unique id of the form 01234.567 that identifies a model 
#       01234 is unique for each combination of (Protein, Species), and 567 is unique 
#       for each combination of (Experiment, Experiment Details, Model ID),
#       In other words, 01234 identifies the protein 'version', whereas 567 identifies 
#       the model 'version' for that protein version.
#   Protein: The protein name, e.g. RBFOX1.
#   Type: Indicates whether the protein is considered an RBP, a TF, etc.
#   Species: The species name, e.g. Homo sapiens.
#   Family: The protein family, e.g. Homeodomain.
#   Class: The protein structural class, e.g. Zinc-coordinating.
#   Experiment: The technology used to measure the training data, e.g. ChIP-seq, HT-SELEX.
#   Experiment Details: A list of strings that describe how the experiment was configured,
#                       e.g. ["Cell Line=K562","Lab=Stanford"]
#   Model ID: A number/string that can be used to identify this model as distinct from 
#             other models for the same (Protein, Species, Experiment, Experiment Details),
#             e.g. if a new, better model was trained and therefore needs a new version ID.
#   Comments: 
#
#
ID	Protein	Type	Species	Family	Class	Experiment	Experiment Details	Model	Cite	Labels	Path	Comment
D00054.001	Atf3	TF	Mus musculus	bZIP		PBM	['DREAM5ID=TF_35', 'Array=ME']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_35	
D00055.001	Atf4	TF	Mus musculus	bZIP		PBM	['DREAM5ID=TF_36', 'Array=ME']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_36	
D00056.001	chr15-10391820-10399583	TF	Mus musculus			PBM	['DREAM5ID=TF_37', 'Array=ME']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_37	
D00057.001	Dmrtc2	TF	Mus musculus	DM		PBM	['DREAM5ID=TF_38', 'Array=ME']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_38	
D00058.001	Egr3	TF	Mus musculus	C2H2 ZF		PBM	['DREAM5ID=TF_39', 'Array=ME']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_39	
D00059.001	Esrrb	TF	Mus musculus	Nuclear receptor		PBM	['DREAM5ID=TF_40', 'Array=ME']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_40	
D00060.001	Esrrg	TF	Mus musculus	Nuclear receptor		PBM	['DREAM5ID=TF_41', 'Array=ME']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_41	
D00061.001	Foxc2	TF	Mus musculus	Forkhead		PBM	['DREAM5ID=TF_42', 'Array=ME']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_42	
D00062.001	Foxg1	TF	Mus musculus	Forkhead		PBM	['DREAM5ID=TF_43', 'Array=ME']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_43	
D00063.001	Gata4	TF	Mus musculus	GATA		PBM	['DREAM5ID=TF_44', 'Array=ME']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_44	
D00064.001	Mybl2	TF	Mus musculus	Myb/SANT		PBM	['DREAM5ID=TF_45', 'Array=ME']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_45	
D00065.001	Nhlh2	TF	Mus musculus	bHLH		PBM	['DREAM5ID=TF_46', 'Array=ME']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_46	
D00066.001	Nkx2-9	TF	Mus musculus	Homeodomain		PBM	['DREAM5ID=TF_47', 'Array=ME']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_47	
D00067.001	Nr2e1	TF	Mus musculus	Nuclear receptor		PBM	['DREAM5ID=TF_48', 'Array=ME']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_48	
D00068.001	Nr2f1	TF	Mus musculus	Nuclear receptor		PBM	['DREAM5ID=TF_49', 'Array=ME']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_49	
D00069.001	Nr5a2	TF	Mus musculus	Nuclear receptor		PBM	['DREAM5ID=TF_50', 'Array=ME']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_50	
D00070.001	Pou1f1	TF	Mus musculus	Homeodomain,POU		PBM	['DREAM5ID=TF_51', 'Array=ME']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_51	
D00071.001	Rarg	TF	Mus musculus	Nuclear receptor		PBM	['DREAM5ID=TF_52', 'Array=ME']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_52	
D00072.001	Rfx7	TF	Mus musculus	RFX		PBM	['DREAM5ID=TF_53', 'Array=ME']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_53	
D00073.001	Rora	TF	Mus musculus	Nuclear receptor		PBM	['DREAM5ID=TF_54', 'Array=ME']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_54	
D00074.001	Sdccag8	TF	Mus musculus			PBM	['DREAM5ID=TF_55', 'Array=ME']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_55	
D00075.001	Snai1	TF	Mus musculus	C2H2 ZF		PBM	['DREAM5ID=TF_56', 'Array=ME']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_56	
D00076.001	Sp140	TF	Mus musculus	SAND		PBM	['DREAM5ID=TF_57', 'Array=ME']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_57	
D00077.001	Tbx1	TF	Mus musculus	T-box		PBM	['DREAM5ID=TF_58', 'Array=ME']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_58	
D00078.001	Zbtb1	TF	Mus musculus	C2H2 ZF		PBM	['DREAM5ID=TF_59', 'Array=ME']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_59	
D00079.001	Zfp300	TF	Mus musculus	C2H2 ZF		PBM	['DREAM5ID=TF_60', 'Array=ME']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_60	
D00080.001	Zfp637	TF	Mus musculus	C2H2 ZF		PBM	['DREAM5ID=TF_61', 'Array=ME']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_61	
D00081.001	Zic5	TF	Mus musculus	C2H2 ZF		PBM	['DREAM5ID=TF_62', 'Array=ME']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_62	
D00082.001	Zkscan5	TF	Mus musculus	C2H2 ZF		PBM	['DREAM5ID=TF_63', 'Array=ME']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_63	
D00083.001	Znf740	TF	Mus musculus			PBM	['DREAM5ID=TF_64', 'Array=ME']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_64	
D00052.002	Zscan10	TF	Mus musculus	C2H2 ZF		PBM	['DREAM5ID=TF_65', 'Array=ME']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_65	
D00052.003	Zscan10	TF	Mus musculus	C2H2 ZF		PBM	['DREAM5ID=TF_66', 'Array=ME']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_66	
D00084.001	A1CF	RBP	Homo sapiens	RRM		RNAcompete	['RNAcompeteID=RNCMPT00001']	deepbind 0.1	PMID 23846655		E:/Results/deepbind/rnac/AB/final/RNCMPT00001	
D00085.001	ANKHD1	RBP	Homo sapiens	KH		RNAcompete	['RNAcompeteID=RNCMPT00002']	deepbind 0.1	PMID 23846655		E:/Results/deepbind/rnac/AB/final/RNCMPT00002	
D00086.001	ARET	RBP	Drosophila melanogaster	RRM		RNAcompete	['RNAcompeteID=RNCMPT00003']	deepbind 0.1	PMID 23846655		E:/Results/deepbind/rnac/AB/final/RNCMPT00003	
D00087.001	BRUNOL4	RBP	Homo sapiens	RRM		RNAcompete	['RNAcompeteID=RNCMPT00004']	deepbind 0.1	PMID 23846655		E:/Results/deepbind/rnac/AB/final/RNCMPT00004	
D00088.001	TIAR-3	RBP	Caenorhabditis elegans	RRM		RNAcompete	['RNAcompeteID=RNCMPT00005']	deepbind 0.1	PMID 23846655		E:/Results/deepbind/rnac/AB/final/RNCMPT00005	
D00089.001	CG14718	RBP	Drosophila melanogaster	RRM		RNAcompete	['RNAcompeteID=RNCMPT00006']	deepbind 0.1	PMID 23846655		E:/Results/deepbind/rnac/AB/final/RNCMPT00006	
D00090.001	CG2950	RBP	Drosophila melanogaster	KH		RNAcompete	['RNAcompeteID=RNCMPT00007']	deepbind 0.1	PMID 23846655		E:/Results/deepbind/rnac/AB/final/RNCMPT00007	
D00091.001	CNOT4	RBP	Drosophila melanogaster	RRM		RNAcompete	['RNAcompeteID=RNCMPT00008']	deepbind 0.1	PMID 23846655		E:/Results/deepbind/rnac/AB/final/RNCMPT00008	
D00092.001	CG33714	RBP	Drosophila melanogaster	RRM		RNAcompete	['RNAcompeteID=RNCMPT00009']	deepbind 0.1	PMID 23846655		E:/Results/deepbind/rnac/AB/final/RNCMPT00009	
D00093.001	CG5213	RBP	Drosophila melanogaster	RRM		RNAcompete	['RNAcompeteID=RNCMPT00010']	deepbind 0.1	PMID 23846655		E:/Results/deepbind/rnac/AB/final/RNCMPT00010	
D00094.001	PAPI	RBP	Drosophila melanogaster	KH		RNAcompete	['RNAcompeteID=RNCMPT00011']	deepbind 0.1	PMID 23846655		E:/Results/deepbind/rnac/AB/final/RNCMPT00011	
D00095.001	CPEB2	RBP	Homo sapiens	RRM		RNAcompete	['RNAcompeteID=RNCMPT00012']	deepbind 0.1	PMID 23846655		E:/Results/deepbind/rnac/AB/final/RNCMPT00012	
D00096.001	DAZAP1	RBP	Homo sapiens	RRM		RNAcompete	['RNAcompeteID=RNCMPT00013']	deepbind 0.1	PMID 23846655		E:/Results/deepbind/rnac/AB/final/RNCMPT00013	
D00097.001	EXC-7	RBP	Caenorhabditis elegans	RRM		RNAcompete	['RNAcompeteID=RNCMPT00014']	deepbind 0.1	PMID 23846655		E:/Results/deepbind/rnac/AB/final/RNCMPT00014	
D00098.001	FMR1	RBP	Drosophila melanogaster	KH		RNAcompete	['RNAcompeteID=RNCMPT00015']	deepbind 0.1	PMID 23846655		E:/Results/deepbind/rnac/AB/final/RNCMPT00015	
D00099.001	FMR1	RBP	Homo sapiens	KH		RNAcompete	['RNAcompeteID=RNCMPT00016']	deepbind 0.1	PMID 23846655		E:/Results/deepbind/rnac/AB/final/RNCMPT00016	
D00100.001	FOX-1	RBP	Caenorhabditis elegans	RRM		RNAcompete	['RNAcompeteID=RNCMPT00017']	deepbind 0.1	PMID 23846655		E:/Results/deepbind/rnac/AB/final/RNCMPT00017	
D00101.001	FUS	RBP	Homo sapiens	RRM		RNAcompete	['RNAcompeteID=RNCMPT00018']	deepbind 0.1	PMID 23846655		E:/Results/deepbind/rnac/AB/final/RNCMPT00018	
D00102.001	SRSF10	RBP	Homo sapiens	RRM		RNAcompete	['RNAcompeteID=RNCMPT00019']	deepbind 0.1	PMID 23846655		E:/Results/deepbind/rnac/AB/final/RNCMPT00019	
D00103.001	FXR2	RBP	Homo sapiens	KH		RNAcompete	['RNAcompeteID=RNCMPT00020']	deepbind 0.1	PMID 23846655		E:/Results/deepbind/rnac/AB/final/RNCMPT00020	
D00104.001	G3BP2	RBP	Homo sapiens	RRM		RNAcompete	['RNAcompeteID=RNCMPT00021']	deepbind 0.1	PMID 23846655		E:/Results/deepbind/rnac/AB/final/RNCMPT00021	
D00105.001	HNRNPA1	RBP	Homo sapiens	RRM		RNAcompete	['RNAcompeteID=RNCMPT00022']	deepbind 0.1	PMID 23846655		E:/Results/deepbind/rnac/AB/final/RNCMPT00022	
D00106.001	HNRNPA1L2	RBP	Homo sapiens	RRM		RNAcompete	['RNAcompeteID=RNCMPT00023']	deepbind 0.1	PMID 23846655		E:/Results/deepbind/rnac/AB/final/RNCMPT00023	
D00107.001	HNRNPA2B1	RBP	Homo sapiens	RRM		RNAcompete	['RNAcompeteID=RNCMPT00024']	deepbind 0.1	PMID 23846655		E:/Results/deepbind/rnac/AB/final/RNCMPT00024	
D00108.001	HNRNPC	RBP	Homo sapiens	RRM		RNAcompete	['RNAcompeteID=RNCMPT00025']	deepbind 0.1	PMID 23846655		E:/Results/deepbind/rnac/AB/final/RNCMPT00025	
D00109.001	HNRNPK	RBP	Homo sapiens	KH		RNAcompete	['RNAcompeteID=RNCMPT00026']	deepbind 0.1	PMID 23846655		E:/Results/deepbind/rnac/AB/final/RNCMPT00026	
D00110.001	HNRNPL	RBP	Homo sapiens	RRM		RNAcompete	['RNAcompeteID=RNCMPT00027']	deepbind 0.1	PMID 23846655		E:/Results/deepbind/rnac/AB/final/RNCMPT00027	
D00111.001	HRB27C	RBP	Drosophila melanogaster	RRM		RNAcompete	['RNAcompeteID=RNCMPT00028']	deepbind 0.1	PMID 23846655		E:/Results/deepbind/rnac/AB/final/RNCMPT00028	
D00112.001	HRB87F	RBP	Drosophila melanogaster	RRM		RNAcompete	['RNAcompeteID=RNCMPT00029']	deepbind 0.1	PMID 23846655		E:/Results/deepbind/rnac/AB/final/RNCMPT00029	
D00113.001	Hrp1p	RBP	Saccharomyces cerevisiae	RRM		RNAcompete	['RNAcompeteID=RNCMPT00031']	deepbind 0.1	PMID 23846655		E:/Results/deepbind/rnac/AB/final/RNCMPT00031	
D00114.001	HuR	RBP	Homo sapiens	RRM		RNAcompete	['RNAcompeteID=RNCMPT00032']	deepbind 0.1	PMID 23846655		E:/Results/deepbind/rnac/AB/final/RNCMPT00032	
D00115.001	IGF2BP2	RBP	Homo sapiens	KH,RRM		RNAcompete	['RNAcompeteID=RNCMPT00033']	deepbind 0.1	PMID 23846655		E:/Results/deepbind/rnac/AB/final/RNCMPT00033	
D00116.001	KHDRBS3	RBP	Homo sapiens	KH		RNAcompete	['RNAcompeteID=RNCMPT00034']	deepbind 0.1	PMID 23846655		E:/Results/deepbind/rnac/AB/final/RNCMPT00034	
D00117.001	LARK	RBP	Drosophila melanogaster	RRM,Znf		RNAcompete	['RNAcompeteID=RNCMPT00035']	deepbind 0.1	PMID 23846655		E:/Results/deepbind/rnac/AB/final/RNCMPT00035	
D00118.001	LIN28A	RBP	Homo sapiens	CSD		RNAcompete	['RNAcompeteID=RNCMPT00036']	deepbind 0.1	PMID 23846655		E:/Results/deepbind/rnac/AB/final/RNCMPT00036	
D00119.001	MATR3	RBP	Homo sapiens	RRM		RNAcompete	['RNAcompeteID=RNCMPT00037']	deepbind 0.1	PMID 23846655		E:/Results/deepbind/rnac/AB/final/RNCMPT00037	
D00120.001	MBNL1	RBP	Homo sapiens	Znf		RNAcompete	['RNAcompeteID=RNCMPT00038']	deepbind 0.1	PMID 23846655		E:/Results/deepbind/rnac/AB/final/RNCMPT00038	
D00121.001	MEX-5	RBP	Caenorhabditis elegans	Znf		RNAcompete	['RNAcompeteID=RNCMPT00039']	deepbind 0.1	PMID 23846655		E:/Results/deepbind/rnac/AB/final/RNCMPT00039	
D00122.001	MSI	RBP	Drosophila melanogaster	RRM		RNAcompete	['RNAcompeteID=RNCMPT00040']	deepbind 0.1	PMID 23846655		E:/Results/deepbind/rnac/AB/final/RNCMPT00040	
D00123.001	MSI1	RBP	Homo sapiens	RRM		RNAcompete	['RNAcompeteID=RNCMPT00041']	deepbind 0.1	PMID 23846655		E:/Results/deepbind/rnac/AB/final/RNCMPT00041	
D00124.001	Nab2p	RBP	Saccharomyces cerevisiae	Znf		RNAcompete	['RNAcompeteID=RNCMPT00042']	deepbind 0.1	PMID 23846655		E:/Results/deepbind/rnac/AB/final/RNCMPT00042	
D00125.001	PABPC4	RBP	Homo sapiens	RRM		RNAcompete	['RNAcompeteID=RNCMPT00043']	deepbind 0.1	PMID 23846655		E:/Results/deepbind/rnac/AB/final/RNCMPT00043	
D00126.001	PCBP2	RBP	Homo sapiens	KH		RNAcompete	['RNAcompeteID=RNCMPT00044']	deepbind 0.1	PMID 23846655		E:/Results/deepbind/rnac/AB/final/RNCMPT00044	
D00127.001	PPRC1	RBP	Homo sapiens	RRM		RNAcompete	['RNAcompeteID=RNCMPT00045']	deepbind 0.1	PMID 23846655		E:/Results/deepbind/rnac/AB/final/RNCMPT00045	
D00128.001	PUM	RBP	Drosophila melanogaster	PUF		RNAcompete	['RNAcompeteID=RNCMPT00046']	deepbind 0.1	PMID 23846655		E:/Results/deepbind/rnac/AB/final/RNCMPT00046	
D00129.001	QKI	RBP	Homo sapiens	KH		RNAcompete	['RNAcompeteID=RNCMPT00047']	deepbind 0.1	PMID 23846655		E:/Results/deepbind/rnac/AB/final/RNCMPT00047	
